date,expt_do_percent,finclip_id,mass_g,probe,resp,resp_vol_L,alpha,p_atm,chase_sec,time_middle_slope_segment,do_percent_sat,po2_torr,delta_umol_o2_per_sec,sel_start,sel_end,sel_duration_sec,notes
6-Dec-18,40,bottom-blastoise-sampling,8.5,NFB0008,D,0.24145,1.7206,102.1,92,4.0283,40.4889,64.9595,-0.0069,02:10.0,05:50.0,230,"From second attempt with this fish, first was 26-Nov-2018, first did not work"
26-Nov-18,40,top-bottom-blastoise-sampling,6.7,NFB0008,1s,0.07254,1.7206,100.6,60,3.5387,40.8511,64.5778,-0.0046,01:30.0,05:30.0,250,
26-Nov-18,20,intop-bottom-charmander-sampling,5.4,NFB0008,1s,0.07254,1.7206,100.6,80,4.7952,20.7941,32.8715,-0.0027,01:20.0,08:10.0,420,
26-Nov-18,20,bottom-charmander-sampling,5.1,NFB0008,1s,0.07254,1.7206,100.6,61,2.9367,20.363,32.19,-0.0019,01:20.0,04:30.0,200,
26-Nov-18,20,top-inbottom-charmander-sampling,6.7,NFB0008,1s,0.07254,1.7206,100.6,57,2.4406,20.3649,32.193,-0.002,01:10.0,03:40.0,160,
28-Nov-18,60,top-inbottom-charmander-sampling,6.8,NFB0008,1s,0.07254,1.7206,100.6,74,2.6111,60.4698,95.5911,-0.0067,01:40.0,03:30.0,120,
28-Nov-18,60,intop-bottom-charmander-sampling,5.2,NFB0008,1s,0.07254,1.7206,100.6,87,2.7759,60.2856,95.3,-0.0061,01:20.0,04:10.0,180,
28-Nov-18,60,bottom-charmander-sampling,5.2,NFB0008,1s,0.07254,1.7206,100.6,64,2.6042,60.4199,95.5122,-0.0048,01:20.0,03:50.0,160,
28-Nov-18,60,middle-blastoise-holding,8.3,NFB0014,1s,0.07254,1.7206,100.6,64,1.7611,60.6014,95.7992,-0.0084,00:50.0,02:40.0,120,
28-Nov-18,60,intop-bottom-blastoise-holding,6.4,NFB0014,1s,0.07254,1.7206,100.6,94,2.5157,60.4481,95.5568,-0.0084,01:10.0,03:50.0,170,
28-Nov-18,60,top-inbottom-blastoise-holding,5.8,NFB0014,1s,0.07254,1.7206,100.6,75,2.6052,60.7403,96.0187,-0.0067,01:20.0,03:50.0,160,
28-Nov-18,40,middle-bulbosaur,6,NFB0014,1s,0.07254,1.7206,100.6,55,3.6956,40.0648,63.3348,-0.0059,02:10.0,05:10.0,190,
28-Nov-18,40,bottom-bulbosaur,3.8,NFB0014,1s,0.07254,1.7206,100.6,70,1.925,40.3458,63.779,-0.0044,00:40.0,03:10.0,160,
28-Nov-18,40,top-bulbosaur,4.2,NFB0014,1s,0.07254,1.7206,100.6,58,2.6849,40.0782,63.3559,-0.005,01:00.0,04:20.0,210,
28-Nov-18,40,intop-bottom-bulbosaur,5.9,NFB0014,1s,0.07254,1.7206,100.6,76,2.6872,40.312,63.7255,-0.0062,01:40.0,03:40.0,130,
28-Nov-18,40,top-bottom-bulbosaur,6.6,NFB0014,1s,0.07254,1.7206,100.6,77,2.8478,39.98,63.2007,-0.0076,01:40.0,04:00.0,150,
28-Nov-18,20,top-charmander-holding,7.7,NFB0014,1s,0.07254,1.7206,100.5,67,3.696,20.2149,31.9558,-0.0037,02:00.0,05:20.0,210,
28-Nov-18,20,top-bottom-charmander-holding,6,NFB0014,1s,0.07254,1.7206,100.5,84,3.1857,20.178,31.8976,-0.0034,01:30.0,04:50.0,210,
28-Nov-18,20,middle-charmander-holding,4.5,NFB0014,1s,0.07254,1.7206,100.5,81,3.6992,20.1565,31.8636,-0.0034,02:00.0,05:20.0,210,
28-Nov-18,20,top-bottom-blastoise-sampling,6.7,NFB0014,1s,0.07254,1.7206,100.5,78,4.1994,20.0053,31.5931,-0.0041,02:00.0,06:20.0,270,
28-Nov-18,20,bottom-blastoise-sampling,8.8,NFB0014,D,0.24145,1.7206,100.5,72,6.4707,19.8521,31.3512,-0.0052,02:40.0,10:10.0,460,
28-Nov-18,20,top-blastoise-sampling,10.7,NFB0014,D,0.24145,1.7206,100.5,75,6.2229,19.757,31.201,-0.0042,03:20.0,09:00.0,350,
30-Nov-18,80,top-blastoise-sampling,10.5,NFB0014,D,0.24145,1.7206,100.6,72,4.4489,80.6853,127.5479,-0.019,02:00.0,06:50.0,300,
30-Nov-18,80,bottom-blastoise-sampling,8.7,NFB0014,D,0.24145,1.7206,100.6,78,4.4611,79.0946,125.0334,-0.0237,02:30.0,06:20.0,240,
30-Nov-18,80,top-bottom-blastoise-sampling,6.7,NFB0014,1s,0.07254,1.7206,100.6,69,2.435,80.4332,127.1494,-0.0115,01:40.0,03:10.0,100,
30-Nov-18,20,top-bulbosaur,4,NFB0014,1s,0.07254,1.7206,100.7,62,5.8856,20.8217,32.9478,-0.0023,02:50.0,08:50.0,370,
30-Nov-18,20,bottom-bulbosaur,3.8,NFB0014,1s,0.07254,1.7206,100.7,62,4.6128,20.0261,31.6889,-0.0026,02:10.0,07:00.0,300,
30-Nov-18,20,middle-bulbosaur,5.9,NFB0014,1s,0.07254,1.7206,100.7,71,3.4448,19.9706,31.6011,-0.0025,02:10.0,04:40.0,160,
30-Nov-18,20,intop-bottom-bulbosaur,5.8,NFB0014,1s,0.07254,1.7206,100.7,95,3.0333,20.0302,31.6954,-0.0026,01:40.0,04:20.0,170,
30-Nov-18,20,top-bottom-bulbosaur,6.4,NFB0014,1s,0.07254,1.7206,100.7,75,4.2875,20.0286,31.6928,-0.003,02:40.0,05:50.0,200,
30-Nov-18,40,top-inbottom-blastoise-holding,5.6,NFB0014,1s,0.07254,1.7206,100.7,91,2.5132,40.8094,64.576,-0.0042,01:00.0,04:00.0,190,
30-Nov-18,40,intop-bottom-blastoise-holding,6.2,NFB0014,1s,0.07254,1.7206,100.7,80,2.1778,40.5042,64.0931,-0.0045,01:00.0,03:20.0,150,
30-Nov-18,40,middle-blastoise-holding,8,NFB0014,1s,0.07254,1.7206,100.7,95,2.3577,40.2848,63.7458,-0.0075,01:20.0,03:20.0,130,
30-Nov-18,40,bottom-charmander-sampling,5.1,NFB0014,1s,0.07254,1.7206,100.7,75,3.3587,39.924,63.1749,-0.0061,01:40.0,05:00.0,210,
30-Nov-18,40,intop-bottom-charmander-sampling,5.2,NFB0014,1s,0.07254,1.7206,100.7,93,3.5309,40.4757,64.0479,-0.004,01:20.0,05:40.0,270,
30-Nov-18,40,top-inbottom-charmander-sampling,6.8,NFB0014,1s,0.07254,1.7206,100.7,83,2.7677,40.3356,63.8262,-0.0071,01:30.0,04:00.0,160,
