species,sw_or_fw,variable,effect on pcrit,pcrit_method,reference,life_history_stage,acute_or_acclimated,acclimation_temp_c,test_temp_c,pcrit_mean,pcrit_sd,pcrit_units,pcrit_n,mo2_mean,mo2_sd,mo2_units,mo2_n,mass_mean_g,mass_sd_g,comments
Pagrus_auratus,,,,,,,,,,,,,,,,,,,,on figure 3 in Rogers et al 2016 not in table
Paralichthys_dentatus,,,,,,,,,,,,,,,,,,,,on figure 3 in Rogers et al 2016 not in table
Pomacentrus_moluccensis,sw,temperature,increase,closed,Nilsson et al. (2010),adults,acute,29,29,25.6,3.5,percent_sat,,283,56,mgO2_hr_kg,,,,not in figure 3 in Rogers et al 2016 but in table
Pomacentrus_moluccensis,sw,temperature,increase,closed,Nilsson et al. (2010),adults,acute,29,31,,,percent_sat,,,,mgO2_hr_kg,,,,
Pomacentrus_moluccensis,sw,temperature,increase,closed,Nilsson et al. (2010),adults,acute,29,32,31.5,3.4,percent_sat,,398,85,mgO2_hr_kg,,,,
Pomacentrus_moluccensis,sw,temperature,increase,closed,Nilsson et al. (2010),adults,acclimated,32,32,,,percent_sat,,,,mgO2_hr_kg,,,,
Salmo_salar,,temperature,increase,,Barnes et al. (2011),post-smolts?,,,,,,,,,,,,,,
Salmo_salar,,temperature,increase,,Remen et al. (2013),post-smolts?,,,,,,,,,,,,,,
Scyliorhinus_canicula,sw,temperature,increase,step-wise nitrogen bubbling,Butler and Taylor(1975),,acclimated,7,,,,,,,,,,,,
,,,,,,,,12,,,,,,,,,,,,
,,,,,,,,17,,,,,,,,,,,,
