"times","filetitle"
85,"R_fishMO2_O2crit_12May2017 NFB0014 ARFE test 1 Pcrit-CLOSED_UncorrData-USE.csv"
145,"R_fishMO2_O2crit_12Oct2017 NFB0008 OLMA-I 16C Pcrit-MinMO2.csv"
135,"R_fishMO2_O2crit_12Oct2017 NFB0010 OLMA-I 16C Pcrit-MinMO2.csv"
140,"R_fishMO2_O2crit_12Oct2017 NFB0013 OLMA-I 16C Pcrit-MinMO2.csv"
130,"R_fishMO2_O2crit_12Sep2017 NFB0008 SCMA-I 20C Pcrit-MinMO2.csv"
85,"R_fishMO2_O2crit_12Sep2017 NFB0010 SCMA-I 20C Pcrit-MinMO2.csv"
100,"R_fishMO2_O2crit_12Sep2017 NFB0013 SCMA-I 20C Pcrit-MinMO2.csv"
180,"R_fishMO2_O2crit_13Apr2017 NFB0012 OLMA test 1 Pcrit-CLOSED.csv"
130,"R_fishMO2_O2crit_13Apr2017 NFB0014 OLMA test 1 Pcrit-CLOSED.csv"
245,"R_fishMO2_O2crit_13Aug2017 NFB0008 ENBI-I 16C Pcrit-MinMO2.csv"
190,"R_fishMO2_O2crit_13Aug2017 NFB0010 ENBI-I 16C Pcrit-MinMO2.csv"
190,"R_fishMO2_O2crit_13Aug2017 NFB0013 ENBI-I 16C Pcrit-MinMO2.csv"
110,"R_fishMO2_O2crit_13May2017 NFB0010 CLGL test 2 Pcrit-CLOSED_AllDataGood.csv"
85,"R_fishMO2_O2crit_13May2017 NFB0012 CLGL test 2 Pcrit-CLOSED_AllDataGood_FISHDIED.csv"
125,"R_fishMO2_O2crit_13May2017 NFB0014 CLGL test 2 Pcrit-CLOSED_AllDataGood.csv"
120,"R_fishMO2_O2crit_13Sep2017 NFB0008 HEHE-I 20C Pcrit-MinMO2.csv"
135,"R_fishMO2_O2crit_13Sep2017 NFB0010 HEHE-I 20C Pcrit-MinMO2.csv"
130,"R_fishMO2_O2crit_13Sep2017 NFB0013 HEHE-I 20C Pcrit-MinMO2.csv"
110,"R_fishMO2_O2crit_14Jul2017 NFB0008 ARHA 20C Pcrit-MinMO2csv.csv"
150,"R_fishMO2_O2crit_14Jul2017 NFB0010 ARHA 20C Pcrit-MinMO2csv.csv"
185,"R_fishMO2_O2crit_14Jul2017 NFB0013 ARHA 20C Pcrit-MinMO2csv.csv"
105,"R_fishMO2_O2crit_14Jun2017 NFB0008 CLGL 12C test 1 Pcrit-CLOSED.csv"
250,"R_fishMO2_O2crit_14Jun2017 NFB0008 OLMA test 1 Pcrit-CLOSED.csv"
140,"R_fishMO2_O2crit_14Jun2017 NFB0010 CLGL 12C test 1 Pcrit-CLOSED.csv"
265,"R_fishMO2_O2crit_14Jun2017 NFB0010 OLMA test 1 Pcrit-CLOSED.csv"
140,"R_fishMO2_O2crit_14Jun2017 NFB0014 CLGL 12C test 1 Pcrit-CLOSED.csv"
285,"R_fishMO2_O2crit_14Jun2017 NFB0014 OLMA test 1 Pcrit-CLOSED.csv"
75,"R_fishMO2_O2crit_15May2017 NFB0010 ARLA test 2 Pcrit-CLOSED_AllDataGood.csv"
140,"R_fishMO2_O2crit_15May2017 NFB0012 ARLA test 2 Pcrit-CLOSED_AllDataGood.csv"
120,"R_fishMO2_O2crit_15May2017 NFB0014 ARLA test 2 Pcrit-CLOSED_AllDataGood.csv"
120,"R_fishMO2_O2crit_16Aug2017 NFB0008 HEHE-II 20C Pcrit-MinMO2.csv"
120,"R_fishMO2_O2crit_16Aug2017 NFB0010 HEHE-II 20C Pcrit-MinMO2.csv"
95,"R_fishMO2_O2crit_16Aug2017 NFB0013 HEHE-II 20C Pcrit-MinMO2.csv"
225,"R_fishMO2_O2crit_16Oct2017 NFB0008 HEHE-II 16C Pcrit-MinMO2.csv"
225,"R_fishMO2_O2crit_16Oct2017 NFB0010 HEHE-II 16C Pcrit-MinMO2.csv"
220,"R_fishMO2_O2crit_16Oct2017 NFB0013 HEHE-II 16C Pcrit-MinMO2.csv"
110,"R_fishMO2_O2crit_17Aug2017 NFB0008 SCMA-II 20C Pcrit-MinMO2.csv"
110,"R_fishMO2_O2crit_17Aug2017 NFB0010 SCMA-II 20C Pcrit-MinMO2.csv"
125,"R_fishMO2_O2crit_17Aug2017 NFB0013 SCMA-II 20C Pcrit-MinMO2.csv"
125,"R_fishMO2_O2crit_17Jun2017 NFB0008 ARFE test 1 Pcrit-CLOSED.csv"
185,"R_fishMO2_O2crit_17Jun2017 NFB0010 ARFE test 1 Pcrit-CLOSED.csv"
135,"R_fishMO2_O2crit_17Jun2017 NFB0013 ARFE test 1 Pcrit-CLOSED.csv"
170,"R_fishMO2_O2crit_17Jun2017 NFB0014 ARFE test 1 Pcrit-CLOSED.csv"
80,"R_fishMO2_O2crit_18Aug2017 NFB0008 ENBI-II 20C Pcrit-MinMO2.csv"
145,"R_fishMO2_O2crit_18Aug2017 NFB0010 ENBI-II 20C Pcrit-MinMO2.csv"
120,"R_fishMO2_O2crit_18Aug2017 NFB0013 ENBI-I 20C Pcrit-MinMO2.csv"
85,"R_fishMO2_O2crit_18May2017 NFB0010 ARFE test 2 Pcrit-CLOSED_AllDataGood.csv"
60,"R_fishMO2_O2crit_18May2017 NFB0012 ARFE test 2 Pcrit-CLOSED_AllDataGood.csv"
160,"R_fishMO2_O2crit_18May2017 NFB0014 ARFE test 2 Pcrit-CLOSED_AllDataGood.csv"
120,"R_fishMO2_O2crit_18Oct2017 NFB0008 SCMA-II 16C Pcrit-MinMO2.csv"
120,"R_fishMO2_O2crit_18Oct2017 NFB0010 SCMA-II 16C Pcrit-MinMO2.csv"
125,"R_fishMO2_O2crit_18Oct2017 NFB0013 SCMA-II 16C Pcrit-MinMO2.csv"
120,"R_fishMO2_O2crit_19Jun2017 NFB0013 ARLA test 1 Pcrit-CLOSED.csv"
135,"R_fishMO2_O2crit_19Oct2017 NFB0008 ENBI-II 16C Pcrit-MinMO2.csv"
300,"R_fishMO2_O2crit_19Oct2017 NFB0010 ENBI-3 16C Pcrit-MinMO2.csv"
380,"R_fishMO2_O2crit_19Oct2017 NFB0013 ENBI-3 16C Pcrit-MinMO2.csv"
95,"R_fishMO2_O2crit_1Oct2017 NFB00010 OLMA-I 20C Pcrit-MinMO2.csv"
95,"R_fishMO2_O2crit_1Oct2017 NFB00013 OLMA-I 20C Pcrit-MinMO2.csv"
140,"R_fishMO2_O2crit_1Oct2017 NFB0008 OLMA-I 20C Pcrit-MinMO2.csv"
135,"R_fishMO2_O2crit_1Sep2017 NFB0008 BLCI-II 16C Pcrit-MinMO2.csv"
150,"R_fishMO2_O2crit_1Sep2017 NFB0010 BLCI-II 16C Pcrit-MinMO2.csv"
225,"R_fishMO2_O2crit_1Sep2017 NFB0013 BLCI-II 16C Pcrit-MinMO2.csv"
400,"R_fishMO2_O2crit_21April2017 NFB0012 OLMA test 2 Pcrit-CLOSED.csv"
195,"R_fishMO2_O2crit_21April2017 NFB0014 OLMA NoClip test 2 Pcrit-CLOSED.csv"
185,"R_fishMO2_O2crit_22Jun2017 NFB0008 ARLA RespE 12degC_Pcrit_SMR.csv"
130,"R_fishMO2_O2crit_22Jun2017 NFB0010 ARLA RespE 12degC_Pcrit_SMR.csv"
155,"R_fishMO2_O2crit_22Jun2017 NFB0013 ARLA RespE 12degC_Pcrit_SMR.csv"
125,"R_fishMO2_O2crit_22Jun2017 NFB0014 ARLA RespE 12degC_Pcrit_SMR.csv"
255,"R_fishMO2_O2crit_24Jun2017 NFB0013 OLMA 16degC_Pcrit_MinMO2.csv"
160,"R_fishMO2_O2crit_24May2017 NFB0008 OLMA test 5 Pcrit-CLOSED_AllData_ODD.csv"
250,"R_fishMO2_O2crit_24May2017 NFB0010 OLMA test 5 Pcrit-CLOSED_AllDataGood.csv"
260,"R_fishMO2_O2crit_24May2017 NFB0013 OLMA test 5 Pcrit-CLOSED_AllDataGood.csv"
190,"R_fishMO2_O2crit_24May2017 NFB0014 OLMA test 5 Pcrit-CLOSED_AllDataGood.csv"
190,"R_fishMO2_O2crit_25Aug2017 NFB0008 BLCI-I 12C Pcrit-MinMO2.csv"
175,"R_fishMO2_O2crit_25Aug2017 NFB0010 BLCI-I 12C Pcrit-MinMO2.csv"
155,"R_fishMO2_O2crit_25Aug2017 NFB0013 BLCI-I 12C Pcrit-MinMO2.csv"
245,"R_fishMO2_O2crit_26Aug2017 NFB0008 BLCI-I 12C Pcrit-MinMO2.csv"
180,"R_fishMO2_O2crit_26Aug2017 NFB0010 BLCI-I 12C Pcrit-MinMO2.csv"
180,"R_fishMO2_O2crit_26Aug2017 NFB0010 BLCI-II 12C Pcrit-MinMO2.csv"
185,"R_fishMO2_O2crit_26Aug2017 NFB0013 BLCI-I 12C Pcrit-MinMO2.csv"
100,"R_fishMO2_O2crit_26Jun2017 NFB0008 CLGL 16degC_Pcrit_MinMO2.csv"
70,"R_fishMO2_O2crit_26Jun2017 NFB0010 CLGL 16degC_Pcrit_MinMO2.csv"
85,"R_fishMO2_O2crit_26Jun2017 NFB0013 CLGL 16degC_Pcrit_MinMO2.csv"
110,"R_fishMO2_O2crit_27Jun2017 NFB0008 ARFE 16degC_Pcrit_MinMO2.csv"
110,"R_fishMO2_O2crit_27Jun2017 NFB0010 ARFE 16degC_Pcrit_MinMO2.csv"
80,"R_fishMO2_O2crit_27Jun2017 NFB0013 ARFE 16degC_Pcrit_MinMO2.csv"
75,"R_fishMO2_O2crit_27Jun2017 NFB0014 ARFE 16degC_Pcrit_MinMO2.csv"
105,"R_fishMO2_O2crit_27Sep2017 NFB0008 ARLA 16degC_Pcrit_MinMO2.csv"
190,"R_fishMO2_O2crit_27Sep2017 NFB0010 ARLA 16degC_Pcrit_MinMO2.csv"
110,"R_fishMO2_O2crit_27Sep2017 NFB0013 ARLA 16degC_Pcrit_MinMO2.csv"
205,"R_fishMO2_O2crit_29April2017 NFB0009 CLGL LowClip test 1 Pcrit-SEMI-CLOSED.csv"
70,"R_fishMO2_O2crit_29April2017 NFB0010 CLGL LowClip test 1 Pcrit-SEMI-CLOSED.csv"
210,"R_fishMO2_O2crit_29April2017 NFB0014 OLMA NoClip test 3 Pcrit-SEMI-CLOSED.csv"
130,"R_fishMO2_O2crit_29May2017 NFB0008 ARHA 12degC_Pcrit_MinMO2.csv"
175,"R_fishMO2_O2crit_29May2017 NFB0010 ARHA 12degC_Pcrit_MinMO2.csv"
155,"R_fishMO2_O2crit_29May2017 NFB0013 ARHA 12degC_Pcrit_MinMO2.csv"
170,"R_fishMO2_O2crit_29May2017 NFB0014 ARHA 12degC_Pcrit_MinMO2.csv"
135,"R_fishMO2_O2crit_29Sep2017 NFB0010 BLCI-II 20degC_Pcrit_MinMO2.csv"
180,"R_fishMO2_O2crit_29Sep2017 NFB0013 BLCI-II 20degC_Pcrit_MinMO2.csv"
130,"R_fishMO2_O2crit_2Aug2017 NFB0008 ARLA 20C Pcrit-MinMO2.csv"
145,"R_fishMO2_O2crit_2Aug2017 NFB0010 ARLA 20C Pcrit-MinMO2.csv"
145,"R_fishMO2_O2crit_2Aug2017 NFB0013 ARLA 20C Pcrit-MinMO2.csv"
115,"R_fishMO2_O2crit_2Jun2017 NFB0008 OLMA test 5 Pcrit-CLOSED.csv"
115,"R_fishMO2_O2crit_2Jun2017 NFB0010 OLMA test 5 Pcrit-CLOSED.csv"
70,"R_fishMO2_O2crit_2Jun2017 NFB0013 CLGL test 3 Pcrit-CLOSED.csv"
110,"R_fishMO2_O2crit_2Jun2017 NFB0014 CLGL test 3 Pcrit-CLOSED.csv"
155,"R_fishMO2_O2crit_2Oct2017 NFB0008 CLGL 16C Pcrit-MinMO2.csv"
170,"R_fishMO2_O2crit_2Oct2017 NFB0010 CLGL 16C Pcrit-MinMO2.csv"
95,"R_fishMO2_O2crit_2Oct2017 NFB0013 CLGL 16C Pcrit-MinMO2.csv"
140,"R_fishMO2_O2crit_30Jul2017 NFB0008 ARLA 20C Pcrit-MinMO2_2nd20degInRow.csv"
125,"R_fishMO2_O2crit_30Jul2017 NFB0010 ARLA 20C Pcrit-MinMO2_2nd20degInRow.csv"
145,"R_fishMO2_O2crit_30Jul2017 NFB0013 ARLA 20C Pcrit-MinMO2_2nd20degInRow.csv"
140,"R_fishMO2_O2crit_30May2017 NFB0008 ARHA 12degC_Pcrit_MinMO2.csv"
175,"R_fishMO2_O2crit_30May2017 NFB0010 ARHA 12degC_Pcrit_MinMO2.csv"
150,"R_fishMO2_O2crit_30May2017 NFB0013 ARHA 12degC_Pcrit_MinMO2.csv"
175,"R_fishMO2_O2crit_30May2017 NFB0014 ARHA 12degC_Pcrit_MinMO2.csv"
190,"R_fishMO2_O2crit_30Sep2017 NFB0008 BLCI-I 16degC_Pcrit_MinMO2.csv"
180,"R_fishMO2_O2crit_30Sep2017 NFB0010 BLCI-I 16degC_Pcrit_MinMO2.csv"
140,"R_fishMO2_O2crit_30Sep2017 NFB0013 BLCI-I 16degC_Pcrit_MinMO2.csv"
135,"R_fishMO2_O2crit_31Aug2017 NFB0008 BLCI-I 20C Pcrit-MinMO2.csv"
145,"R_fishMO2_O2crit_31Aug2017 NFB0010 BLCI-I 20C Pcrit-MinMO2.csv"
100,"R_fishMO2_O2crit_31Aug2017 NFB0013 BLCI-I 20C Pcrit-MinMO2.csv"
140,"R_fishMO2_O2crit_31May2017 NFB0008 ARHA test 2 Pcrit-CLOSED_AllDataGood.csv"
175,"R_fishMO2_O2crit_31May2017 NFB0010 ARHA test 2 Pcrit-CLOSED_AllDataGood.csv"
150,"R_fishMO2_O2crit_31May2017 NFB0013 ARHA test 2 Pcrit-CLOSED_AllDataGood.csv"
175,"R_fishMO2_O2crit_31May2017 NFB0014 ARHA test 2 Pcrit-CLOSED_AllDataGood.csv"
165,"R_fishMO2_O2crit_3Aug2017 NFB0010 HEHE-I 12C Pcrit-MinMO2.csv"
230,"R_fishMO2_O2crit_3Aug2017 NFB0013 HEHE-I 12C Pcrit-MinMO2.csv"
95,"R_fishMO2_O2crit_3Jul2017 NFB0008 OLMA Pcrit-MinMO2.csv"
140,"R_fishMO2_O2crit_3Jul2017 NFB0010 OLMA Pcrit-MinMO2.csv"
105,"R_fishMO2_O2crit_3Jul2017 NFB0013 OLMA Pcrit-MinMO2.csv"
270,"R_fishMO2_O2crit_4Aug2017 NFB0008 SCMA-I 12C Pcrit-MinMO2.csv"
240,"R_fishMO2_O2crit_4Aug2017 NFB0010 SCMA-I 12C Pcrit-MinMO2.csv"
200,"R_fishMO2_O2crit_4Aug2017 NFB0013 SCMA-I 12C Pcrit-MinMO2.csv"
130,"R_fishMO2_O2crit_4Jul2017 NFB0008 ARHA Pcrit-MinMO2.csv"
105,"R_fishMO2_O2crit_4Jul2017 NFB0010 ARHA Pcrit-MinMO2.csv"
110,"R_fishMO2_O2crit_4Jul2017 NFB0013 ARHA Pcrit-MinMO2.csv"
245,"R_fishMO2_O2crit_5Aug2017 NFB0010 ENBI-I 12C Pcrit-MinMO2.csv"
245,"R_fishMO2_O2crit_5Aug2017 NFB0013 ENBI-I 12C Pcrit-MinMO2.csv"
105,"R_fishMO2_O2crit_5Jul2017 NFB0008 ARLA 16C Pcrit-MinMO2.csv"
165,"R_fishMO2_O2crit_5Jul2017 NFB0010 ARLA 16C Pcrit-MinMO2.csv"
95,"R_fishMO2_O2crit_5Jul2017 NFB0013 ARLA 16C Pcrit-MinMO2.csv"
120,"R_fishMO2_O2crit_5May2017 NFB0009 ARHA test 1 Pcrit-CLOSED TopLowClip_Post-2sigma.csv"
120,"R_fishMO2_O2crit_5May2017 NFB0010 ARHA test 1 Pcrit-CLOSED Post-2sigma.csv"
345,"R_fishMO2_O2crit_5May2017 NFB0012 OLMA 12C Pcrit-MinMO2.csv"
180,"R_fishMO2_O2crit_5May2017 NFB0014 ARHA test 1 Pcrit-CLOSED TopLowClip_AllData.csv"
170,"R_fishMO2_O2crit_5May2017 NFB0014 ARHA test 1 Pcrit-CLOSED TopLowClip_Post-2sigma.csv"
235,"R_fishMO2_O2crit_6Aug2017 NFB0008 HEHE-II 12C Pcrit-MinMO2.csv"
230,"R_fishMO2_O2crit_6Aug2017 NFB0008 HEHE-II 12C Pcrit-MinMO2_Round2.csv"
235,"R_fishMO2_O2crit_6Aug2017 NFB0010 HEHE-II 12C Pcrit-MinMO2.csv"
235,"R_fishMO2_O2crit_6Aug2017 NFB0010 HEHE-II 12C Pcrit-MinMO2_Round2.csv"
395,"R_fishMO2_O2crit_6Aug2017 NFB0013 HEHE-II 12C Pcrit-MinMO2.csv"
380,"R_fishMO2_O2crit_6Aug2017 NFB0013 HEHE-II 12C Pcrit-MinMO2_Round2.csv"
95,"R_fishMO2_O2crit_6Jun2017 NFB0010 OLMA test 2 Pcrit-CLOSED.csv"
140,"R_fishMO2_O2crit_6Jun2017 NFB0014 OLMA test 2 Pcrit-CLOSED.csv"
90,"R_fishMO2_O2crit_6Oct2017 NFB0008 ARFE 16C Pcrit-MinMO2.csv"
80,"R_fishMO2_O2crit_6Oct2017 NFB0013 ARFE 16C Pcrit-MinMO2.csv"
85,"R_fishMO2_O2crit_7Sep2017 NFB0008 ARHA 20C Pcrit-MinMO2.csv"
145,"R_fishMO2_O2crit_7Sep2017 NFB0010 ARHA 20C Pcrit-MinMO2.csv"
170,"R_fishMO2_O2crit_7Sep2017 NFB0013 ARHA 20C Pcrit-MinMO2.csv"
255,"R_fishMO2_O2crit_8Aug2017 NFB0008 SCMA-II 12C Pcrit-MinMO2.csv"
255,"R_fishMO2_O2crit_8Aug2017 NFB0010 SCMA-II 12C Pcrit-MinMO2.csv"
210,"R_fishMO2_O2crit_8Aug2017 NFB0013 SCMA-II 12C Pcrit-MinMO2.csv"
150,"R_fishMO2_O2crit_8Jul2017 NFB0008 ARLA 20C Pcrit-MinMO2.csv"
135,"R_fishMO2_O2crit_8Jul2017 NFB0010 ARLA 20C Pcrit-MinMO2.csv"
175,"R_fishMO2_O2crit_8Jul2017 NFB0013 ARLA 20C Pcrit-MinMO2.csv"
230,"R_fishMO2_O2crit_8May2017 NFB0009 CLGL test 2 Pcrit-CLOSED_AllData_NoNegVals.csv"
215,"R_fishMO2_O2crit_8May2017 NFB0009 CLGL test 2 Pcrit-CLOSED_Post-2sigma.csv"
250,"R_fishMO2_O2crit_8May2017 NFB0010 OLMA test 4 Pcrit-CLOSED_AllData.csv"
230,"R_fishMO2_O2crit_8May2017 NFB0010 OLMA test 4 Pcrit-CLOSED_Post-2sigma.csv"
345,"R_fishMO2_O2crit_8May2017 NFB0012 OLMA test 4 Pcrit-CLOSED_AllData.csv"
310,"R_fishMO2_O2crit_8May2017 NFB0012 OLMA test 4 Pcrit-CLOSED_Post-2sigma.csv"
100,"R_fishMO2_O2crit_8May2017 NFB0014 CLGL test 2 Pcrit-CLOSED_AllDataGood.csv"
125,"R_fishMO2_O2crit_8Sep2017 NFB0010 CLGL 20C Pcrit-MinMO2.csv"
105,"R_fishMO2_O2crit_8Sep2017 NFB0013 CLGL 20C Pcrit-MinMO2.csv"
290,"R_fishMO2_O2crit_9Aug2017 NFB0010 ENBI-II 12C Pcrit-MinMO2.csv"
330,"R_fishMO2_O2crit_9Aug2017 NFB0013 ENBI-II 12C Pcrit-MinMO2.csv"
135,"R_fishMO2_O2crit_9Jul2017 NFB0008 CLGL 20C Pcrit-MinMO2.csv"
130,"R_fishMO2_O2crit_9Jul2017 NFB0010 CLGL 20C Pcrit-MinMO2.csv"
105,"R_fishMO2_O2crit_9Jul2017 NFB0013 CLGL 20C Pcrit-MinMO2.csv"
140,"R_fishMO2_O2crit_9Oct2017 NFB0010 ARFE 20C Pcrit-MinMO2.csv"
140,"R_fishMO2_O2crit_9Oct2017 NFB0013 ARFE 20C Pcrit-MinMO2.csv"
